index,category,test_no,command_kor,connected_devices,options,gt1,gt2,gt3,command_eng
140,6,418,2초마다 거실 조명을 켰다 껐다 반복해 줘. 조명을 끌 때마다 확인해서 창문이 열려 있는 게 감지되면 반복을 즉시 중단해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""
(#Light).switch_toggle()\n
light_state = (#Light).switch_switch\n
if (light_state == \""off\"") {\n
  window_state = (#Window).windowControl_window\n
  if (window_state == \""open\"") {\n
      break\n
  }\n
}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""
 lightOn := false
 if (lightOn == false) {
 (#Light #LivingRoom).switch_on()
 lightOn = true
 } else {
 (#Light #LivingRoom).switch_off()
 lightOn = false
 if ((#Window).windowControl_window == \""open\"") {
 break
 }
 }
 ""}","{'name': 'Scenario', 'cron': '', 'period': 2000, 'code': ""
if ((#Light).switch_switch == 'on') {\n
    (#Light).switch_off()\n
    if ((#Window).windowControl_window == 'open') {\n
        break\n
    }\n
} else {\n
    (#Light).switch_on()\n
}""}",Turn the living room light on and off every two seconds. Check each time it turns off the light and stop the loop immediately if it detects that a window is open.
104,7,351,2초마다 상태를 확인해서 TV가 켜질 때마다 스피커도 켜 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""triggered := false\nif ((#Television).switch_switch == \""on\"") {\n  if (triggered == false) {\n    (#Speaker).switch_on()\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""triggered := false\nif ((#Television).switch_switch == \""on\"") {\n if (triggered == false) {\n (#Speaker).switch_on()\n triggered = true\n }\n} else {\n triggered = false\n}""}","{'name': 'Scenario', 'cron': '', 'period': 2000, 'code': ""triggered := false\nif ((#Television).switch_switch == 'on') {\n    if (triggered == false) {\n        (#Speaker).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",Check status every 2 seconds and turn on the speakers whenever the TV turns on.
142,6,431,"2초마다 알람의 사이렌을 1초간 울렸다 꺼지게 하고, 알람의 사이렌을 울릴 때마다 창문이 닫혀 있는지 확인해서 닫혀 있으면 반복을 중단해 줘.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""(#Alarm).alarm_siren()\nstate = (#Window).windowControl_window\n(#Clock).clock_delay(1000)\n(#Alarm).alarm_off()\nif (state == \""closed\"") {\n  break\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""
sirenOn := false\n
if (sirenOn == false) {\n
 (#Alarm).alarm_siren()\n
 (#Clock).clock_delay(1000)\n
 (#Alarm).alarm_off()\n
 sirenOn = true\n}\n
if ((#Alarm).alarm_alarm == \""siren\"") {\n
 if ((#Window).windowControl_window == \""closed\"") {\n 
break\n
 }\n
}""
 }""}","{'name': 'Scenario', 'cron': '', 'period': 2000, 'code': ""    (#Alarm).alarm_siren()\n    if ((#Window).windowControl_window == 'closed') {\n        break\n    }\n    (#Clock).clock_delay(1000)\n    (#Alarm).alarm_off()""}","Every two seconds, turn the alarm siren on for 1 second, then turn it off, and every time it turn on the siren, make sure the window is closed and stop the loop if it is."
145,7,434,"2초마다 체크해서 매일 오전 6시부터 9시 사이에 조명이 켜져 있는 누적 시간이 10분 이상이고, 관개 장치가 세 번 이상 꺼졌다 켜졌으면 스피커로 '관수 완료되었습니다'라고 말해 줘.",,,"{""name"": ""Scenario1"", ""cron"": ""0 6 * * *"", ""period"": 2000, ""code"": ""
light_on_duration := 0\n
irrigator_toggle_count := 0\n
prev_irrigator := \""\""\n\n
if ((#Clock).clock_hour < 9) {\n

  if ((#Light).switch_switch == \""on\"") {\n
    light_on_duration = light_on_duration + 2000\n
  }\n\n
  current_irrigator = (#Irrigator).switch_switch\n

  if ((prev_irrigator == \""on\"") and (current_irrigator == \""off\"")) {\n
    irrigator_toggle_count = irrigator_toggle_count + 1\n
  }

  prev_irrigator = current_irrigator

  if ((light_on_duration >= 600000) and (irrigator_toggle_count >= 3)) {\n
    (#Speaker).mediaPlayback_speak(\""관수 완료되었습니다\"")\n
  }\n
} else {\n
  break\n
}""}","{""name"": ""Scenario1"", ""cron"": ""0 6 * * *"", ""period"": 2000, ""code"": ""
 lightOnTime := 0
 irrigationToggleCount := 0
 messageSpoken := false
 
 if ((#Light).switch_switch == \""on\"") {
 lightOnTime = lightOnTime + 2
 }
 
 if ((#Irrigator).switch_switch == \""off\"") {
   wait until ((#Irrigator).switch_switch == \""on\"")
   irrigationToggleCount = irrigationToggleCount + 1
 }
 
 if ((lightOnTime >= 600) and (irrigationToggleCount >= 3) and (messageSpoken == false)) {
   (#Speaker).mediaPlayback_speak(\""관수 완료되었습니다\"")
   messageSpoken = true
 }
 
 if ((#Clock).clock_hour >= 9) {
   break
 }
 ""}","{'name': 'Scenario', 'cron': '0 6-8 * * *', 'period': 2000, 'code': ""on_time := 0\nprev_light_state := (#Light).switch_switch\nlight_state = (#Light).switch_switch\nif ((prev_light_state == 'off') and (light_state == 'on')) {\n    start_time := (#Clock).clock_timestamp\n}\nif ((prev_light_state == 'on') and (light_state == 'on')) {\n    on_time = on_time + 2\n}\nif ((prev_light_state == 'on') and (light_state == 'off')) {\n    on_time = on_time + ((#Clock).clock_timestamp - start_time) / 60\n}\nprev_light_state = light_state\n\nirrigator_count := 0\nprev_irrigator_state := (#Irrigator).switch_switch\nirrigator_state = (#Irrigator).switch_switch\nif ((prev_irrigator_state == 'on') and (irrigator_state == 'off')) {\n    irrigator_count = irrigator_count + 1\n}\nprev_irrigator_state = irrigator_state\n\nif ((#Clock).clock_hour == 9) {\n    break\n}\nif ((on_time >= 10) and (irrigator_count >= 3)) {\n    (#Speaker).mediaPlayback_speak('관수 완료되었습니다')\n    break\n}""}","Check every two seconds, and if the cumulative time the lights are on between 6 a.m. and 9 a.m. each day is 10 minutes or more, and the irrigator has been turned off and on three or more times during that same period, announce ""Watering complete"" via the speaker."
92,6,335,3초 간격으로 조명을 10번 깜빡여 줘. 깜빡일 때마다 확인해서 비 감지 센서가 비를 감지하는 순간 반복을 중단해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""count := 0\n\nif (count >= 10) {\n  break\n}\n(#Light).switch_toggle()\nrain = (#WeatherProvider).weatherProvider_weather\nif (rain == \""rain\"") {\n  break\n}\ncount = count + 1""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""blinkCount := 0
 if ((#WeatherProvider).weatherProvider_weather != \""rain\"") {
  if (blinkCount < 10) {
  (#Light).switch_toggle()
  blinkCount = blinkCount + 1
  } else {break}
  } 
  else {break}""}","{'name': 'Scenario', 'cron': '', 'period': 3000, 'code': ""count := 0\nif (count < 10) {\n    (#Light).switch_toggle()\n    if ((#WeatherProvider).weatherProvider_weather == 'rain') {\n        break\n    }\n    count = count + 1\n} else {\n    break\n}""}",Blink the light 10 times in 3-second intervals. Check after each blink and stop the loop the moment the rain sensor detects rain.
72,6,315,3초마다 텔레비전의 볼륨을 1씩 증가시켜서 5단계가 되면 초기값으로 되돌리는 동작을 반복해 줘. 초기값으로 되돌릴 때 확인해서 움직임이 감지되면 반복을 중단해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""
volume := 0\n
if (volume >= 5) {\n
  motion = (#MotionSensor).motionSensor_motion\n
  if (motion == \""active\"") {\n
      break\n
  }\n
  volume = 0\n
} else {\n
  volume = volume + 1\n
}\n
(#Television).audioVolume_setVolume(volume)""
}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""
volume := 0
triggered := false
currentVolume = (#Television).audioVolume_volume
motionDetected = ((#MotionSensor).motionSensor_motion == ""active"")
if (triggered == false) {
  if (currentVolume < 5) {
    volume = currentVolume + 1
    (#Television).audioVolume_setVolume(volume)
  } else {
    (#Television).audioVolume_setVolume(0)
    if (motionDetected == true) {
      triggered = true
    }
  }
}
if (triggered == true) {
  break
}""}","{'name': 'Scenario', 'cron': '', 'period': 3000, 'code': ""volume := 0\nvolume = volume + 1\nif (volume > 5) {\n    volume = 0\n    if ((#MotionSensor).motionSensor_motion == 'active') {\n        break\n    }\n}\n(#Television).audioVolume_setVolume(volume)""}","Every 3 seconds, increase the television volume by 1 level. When it reaches level 5, reset it to the initial value. Repeat this cycle. If motion is detected at the moment of reset, stop the repetition."
29,1,157,5의 속도로 조명의 밝기를 80으로 설정해줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_setLevel(80,5)""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_setLevel(80,5)""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Light).switchLevel_setLevel(80,5)'}",Set the brightness of the light to 80 with a speed of 5.
96,6,339,5초마다 실내 공기청정기를 ‘자동’ 모드로 전환해 줘. 그 때마다 확인해서 창문이 열려 있으면 모든 반복을 종료해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(\""auto\"")\nstate = (#Window).windowControl_window\nif (state == \""open\"") {\n  break\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""if ((#Window).windowControl_window == ""open"") {
 break
 } else {
 (#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""auto"")
 }""}","{'name': 'Scenario', 'cron': '', 'period': 5000, 'code': ""if ((#Window).windowControl_window == 'open') {\n    break\n}\n(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode('auto')""}","Every 5 seconds, switch the room air purifier to 'auto' mode. Check each time and stop the loop if a window is open."
170,4,459,"5초마다 움직임을 감지하고, 감지되면 2초 대기 후 알람을 울려 줘.",,,"{""name"": ""MotionDetectedAlarm"", ""cron"": """", ""period"": 5000, ""code"": ""if ((#MotionSensor).motionSensor_motion == \""active\"") {\n  (#clock).delay(2000)\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""
 if ((#MotionSensor).motionSensor_motion == \""active\"") {
 (#Clock).clock_delay(2000)
 (#Alarm).alarm_siren()
 }
 ""}","{'name': 'Scenario', 'cron': '', 'period': 5000, 'code': ""if ((#MotionSensor).motionSensor_motion == 'active') {\n    (#Clock).clock_delay(2000)\n    (#Alarm).alarm_siren()\n}""}","Every 5 seconds, check for motion, and if detected, wait 2 seconds and then sound the alarm."
93,6,336,5초마다 토양 습도를 측정해서 30% 이하이면 급수기를 켜 줘. 만약 그 때 온도가 35도 이상이면 급수기를 끄고 반복도 종료해 줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""soil = (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity\ntemp = (#TemperatureSensor).temperatureMeasurement_temperature\nif (soil <= 30.0) {\n  (#Irrigator).switch_on()\n  if (temp >= 35.0) {\n      (#Irrigator).switch_off()\n      break\n  }\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""triggered := false
 if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) {
 if (triggered == false) {
 (#Irrigator).switch_on()
 triggered = true
 }
 }
 if ((#TemperatureSensor).temperatureMeasurement_temperature >= 35.0) {
 (#Irrigator).switch_off()
 break
 }""}","{'name': 'Scenario', 'cron': '', 'period': 5000, 'code': 'if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30) {\n    (#Irrigator).switch_on()\n}\nif ((#TemperatureSensor).temperatureMeasurement_temperature >= 35) {\n    (#Irrigator).switch_off()\n    break\n}'}","Measure soil moisture every 5 seconds, and if it is below 30%, turn on the irrigator. If the temperature is above 35 degrees at that time, turn off the irrigator and stop the loop."
94,6,337,5초마다 현재 상태에서 블라인드를 10퍼센트씩 닫아줘. 더 이상 못 내릴 때까지.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""current_level = (#Blind).blindLevel_blindLevel\nif (current_level <= 10) {\n  (#Blind).blindLevel_setBlindLevel(0)\n  break\n}\nnext_level = current_level - 10\n(#Blind).blindLevel_setBlindLevel(next_level)""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""
 blindLevel := (#Blind).blindLevel_blindLevel
 if (blindLevel > 0) {
 newLevel = blindLevel - 10
 if (newLevel < 0) {
 newLevel = 0
 }
 (#Blind).blindLevel_setBlindLevel(newLevel)
 } else {
 break
 }
 ""}","{'name': 'Scenario', 'cron': '', 'period': 5000, 'code': 'if ((#Blind).blindLevel_blindLevel > 0) {\n    blind_level = (#Blind).blindLevel_blindLevel\n    new_level = 0\n    if ((blind_level - 10) >= 0) {\n        new_level = blind_level - 10\n    } else {\n        new_level = 0\n    }\n    (#Blind).blindLevel_setBlindLevel(new_level)\n} else {\n    break\n}'}","Every 5 seconds, lower the blinds by 10 percent from their current position, and continue until the blinds can no longer be lowered."
88,4,331,7초 후에 조명을 끄고 5초 뒤 다시 켜 줘.,,,"{""name"": ""Scenario8"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(7000)\n
(#Light).switch_off()\n
(#Clock).clock_delay(5000)\n
(#Light).switch_on()""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(7000)\n(#Light).switch_off()\n(#Clock).clock_delay(5000)\n(#Light).switch_on()""}","{'name': 'Scenario', 'cron': '', 'period': -1, 'code': '(#Clock).clock_delay(7000)\n(#Light).switch_off()\n(#Clock).clock_delay(5000)\n(#Light).switch_on()'}",Turn off the light after 7 seconds and turn it back on after 5 seconds.
25,3,127,가스 밸브가 열려 있으면 알람의 사이렌을 울려줘.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""if ((#GasValve).valve_valve == 'open') {\n    (#Alarm).alarm_siren()\n}""}",Sound the alarm's siren if the gas valve is open.
18,9,64,"가장 최근 동영상을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '동영상'과 내용 '동영상입니다.'로 보내줘",,"[
  {
  ""name"": ""me"",
  ""contact"": ""010-1234-5678"",
  ""email"": ""abcd1234@test.com"",
  ""birthday"": ""1991-03-03""
  },
  {
  ""name"": ""홍길동"",
  ""contact"": ""010-9999-8888"",
  ""email"": ""honggd@test.com"",
  ""birthday"": ""1988-07-15"",
  ""alternate_contact"": ""010-8888-7777""
  },
  {
  ""name"": ""김무개"",
  ""contact"": ""010-7777-6666"",
  ""email"": ""kim@example.com"",
  ""birthday"": ""1990-11-25""
  },
  {
  ""name"": ""장보고"",
  ""contact"": ""010-2222-3333"",
  ""email"": ""jangbogo@naver.com"",
  ""birthday"": ""1985-05-10"",
  ""alternate_contact"": ""010-4444-5555""
  }
 ]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""동영상\"", \""동영상입니다.\"", latest_video)""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""동영상\"", \""동영상입니다.\"", (#Camera).camera_video)""}","{'name': 'SendLatestVideoEmail', 'cron': '', 'period': -1, 'code': ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile('test@example.com','동영상','동영상입니다.', latest_video)""}","Send an email with the most recent video as an attachment to 'test@example.com' with the subject line ""Video"" and the content ""This is a video."
